ticker,exchange,assetType,priceCurrency,startDate,endDate
TKCBY,PINK,Stock,USD,2017-07-31,2020-11-27
TKCI,OTCQB,Stock,USD,2016-01-04,2020-11-27
TKCI1,NASDAQ,Stock,USD,,
TKCM,OTCCE,Stock,USD,2018-09-24,2020-10-15
TKCOF,OTCGREY,Stock,USD,2001-12-12,2020-11-27
TKCZF,OTCGREY,Stock,USD,2001-11-05,2020-07-30
TKDOF,OTCGREY,Stock,USD,,
TKECF,PINK,Stock,USD,2007-07-17,2020-11-27
TKECY,PINK,Stock,USD,2010-04-20,2020-11-27
TKF,NYSE,ETF,USD,1990-01-11,2017-12-22
TKFHY,PINK,Stock,USD,2009-12-07,2020-11-27
TKFNF,PINK,Stock,USD,2020-02-03,2020-02-03
TKFOY,PINK,Stock,USD,2018-01-03,2020-11-27
TKFTF,OTCGREY,Stock,USD,2017-09-22,2020-11-27
TKGBF,OTCQX,Stock,USD,2017-10-13,2020-11-27
TKGBY,OTCQX,Stock,USD,2007-07-16,2020-11-27
TKGL,PINK,Stock,USD,2009-08-28,2020-11-27
TKGSF,PINK,Stock,USD,2007-08-16,2020-11-27
TKGSY,PINK,Stock,USD,2009-01-29,2020-11-27
TKGZY,NASDAQ,Stock,USD,2008-07-25,2020-11-27
TKHGF,OTCGREY,Stock,USD,2014-04-28,2018-10-29
TKHIF,OTCGREY,Stock,USD,,
TKHVF,OTCGREY,Stock,USD,2013-11-12,2018-10-24
TKHVY,PINK,Stock,USD,2013-11-21,2020-11-27
TKIAF,OTCGREY,Stock,USD,,
TKIEF,OTCGREY,Stock,USD,,
TKIKF,PINK,Stock,USD,,
TKINF,OTCGREY,Stock,USD,2002-02-21,2020-11-27
TKKAF,OTCGREY,Stock,USD,,
TKKHF,PINK,Stock,USD,2018-06-18,2020-11-27
TKKIF,OTCMKTS,Stock,USD,2017-09-26,2018-06-28
TKKRF,OTCGREY,Stock,USD,,
TKKSR,NASDAQ,Stock,USD,2018-09-12,2020-02-18
TKKSU,NASDAQ,Stock,USD,2018-08-16,2020-02-18
TKLC,NASDAQ,Stock,USD,,
TKLS,PINK,Stock,USD,2009-03-26,2020-11-27
TKMR,NASDAQ,Stock,USD,2007-07-26,2015-07-31
TKMTF,PINK,Stock,USD,,
TKMU,OTCBB,Stock,USD,2017-06-22,2017-09-18
TKN,NYSE,Stock,USD,,
TKNOF,OTCGREY,Stock,USD,2013-05-20,2020-10-02
TKOBF,OTCGREY,Stock,USD,,
TKOI,OTCQB,Stock,USD,2000-09-06,2020-11-27
TKOMF,PINK,Stock,USD,2008-10-29,2020-11-27
TKOMY,PINK,Stock,USD,2007-07-26,2020-11-27
TKPHF,PINK,Stock,USD,2007-07-16,2020-11-27
TKPPY,NYSE,Stock,USD,2016-01-04,2017-01-24
TKPTF,PINK,Stock,USD,,
TKR,NYSE,Stock,USD,1985-07-01,2020-11-27
TKRFF,PINK,Stock,USD,2007-07-13,2020-11-27
TKSHF,OTCGREY,Stock,USD,2003-07-31,2020-11-27
TKSI,PINK,Stock,USD,2019-12-02,2020-11-27
TKSNF,OTCGREY,Stock,USD,,
TKSS,NASDAQ,Stock,USD,,
TKSTF,PINK,Stock,USD,2014-06-10,2020-11-27
TKTCY,PINK,Stock,USD,2011-06-22,2020-11-27
TKTDQ,PINK,Stock,USD,2017-10-30,2018-03-14
TKTDY,PINK,Stock,USD,2011-01-12,2017-10-27
TKTL,NASDAQ,Stock,USD,,
TKTM,NASDAQ,Stock,USD,,
TKTX,NASDAQ,Stock,USD,,
TKUGF,OTCGREY,Stock,USD,,
TKUMF,OTCGREY,Stock,USD,2003-05-12,2020-11-27
TKURF,PINK,Stock,USD,2008-12-23,2020-11-27
TKXHF,PINK,Stock,USD,2017-09-22,2020-11-27
TKYMF,OTCGREY,Stock,USD,2006-03-28,2020-11-27
TKYMY,PINK,Stock,USD,2017-10-10,2020-11-27
TKYVY,PINK,Stock,USD,2010-08-09,2020-11-27
TKYYF,OTCMKTS,Stock,USD,2017-10-17,2017-10-24
TLAB,NASDAQ,Stock,USD,,
TLAFX,NMFQS,Mutual Fund,USD,2012-08-03,2020-11-27
TLARX,NMFQS,Mutual Fund,USD,2017-03-10,2020-11-27
TLATX,NMFQS,Mutual Fund,USD,2017-03-10,2020-11-27
TLB,NYSE,Stock,USD,,
TLBAX,NMFQS,Mutual Fund,USD,2019-05-10,2020-11-25
TLBDX,NMFQS,Mutual Fund,USD,2019-05-13,2020-11-27
TLC,NASDAQ,Stock,USD,2018-11-21,2020-11-27
TLC1,,Stock,USD,,
TLCC,PINK,Stock,USD,2015-05-07,2020-11-27
TLCHX,NMFQS,Mutual Fund,USD,2019-05-13,2020-11-27
TLCIX,NMFQS,Mutual Fund,USD,2014-07-10,2020-11-27
TLCM,NASDAQ,Stock,USD,,
TLCO,PINK,Stock,USD,1999-10-11,2020-11-27
TLCP,NASDAQ,Stock,USD,,
TLCR,NASDAQ,Stock,USD,,
TLCT,NASDAQ,Stock,USD,,
TLCVF,NASDAQ,Stock,USD,1997-07-02,2019-07-26
TLCX,,Stock,USD,,
TLCYX,NMFQS,Mutual Fund,USD,2014-07-10,2020-11-27
TLDAX,NMFQS,Mutual Fund,USD,2014-01-02,2020-11-27
TLDE,PINK,Stock,USD,2017-09-25,2020-11-27
TLDH,NYSE ARCA,ETF,USD,2015-11-10,2020-11-27
TLDIX,NMFQS,Mutual Fund,USD,2014-01-02,2020-11-27
TLDN,PINK,Stock,USD,2008-08-29,2020-11-27
TLDT,,Stock,USD,,
TLDTX,NMFQS,Mutual Fund,USD,2020-11-17,2020-11-27
TLDUX,NMFQS,Mutual Fund,USD,2020-11-17,2020-11-27
TLDZX,NMFQS,Stock,USD,,
TLED,PINK,Stock,USD,2017-09-22,2020-11-27
TLEH,NYSE ARCA,ETF,USD,2015-11-10,2020-11-27
TLEIX,NMFQS,Mutual Fund,USD,2001-02-15,2020-11-27
TLEO,NASDAQ,Stock,USD,,
TLEQX,NMFQS,Mutual Fund,USD,2019-05-13,2020-11-27
TLESX,NMFQS,Mutual Fund,USD,2001-02-15,2020-11-27
TLEVX,NMFQS,Mutual Fund,USD,2012-03-01,2020-11-27
TLFA,PINK,Stock,USD,1993-09-27,2020-11-27
TLFAX,NMFQS,Mutual Fund,USD,2016-01-04,2020-11-27
TLFIX,NMFQS,Mutual Fund,USD,2009-09-30,2020-11-27
TLFPX,NMFQS,Mutual Fund,USD,2009-10-01,2020-11-27
TLFRX,NMFQS,Mutual Fund,USD,2007-12-03,2020-11-27
TLFX,PINK,Stock,USD,2017-09-22,2020-11-27
TLG,NYSE,Stock,USD,,
TLGAX,NMFQS,Mutual Fund,USD,2000-10-25,2020-11-27
TLGB,,Stock,USD,,
TLGCX,NMFQS,Mutual Fund,USD,2004-02-03,2020-11-27
TLGD,NASDAQ,Stock,USD,,
TLGHF,PINK,Stock,USD,2008-01-15,2020-11-27
TLGHY,PINK,Stock,USD,2013-05-06,2020-11-27
TLGIX,NMFQS,Mutual Fund,USD,2011-03-01,2017-09-20
TLGN,PINK,Stock,USD,2007-09-07,2020-11-27
TLGNL,EXPM,Stock,USD,,
TLGQX,NMFQS,Mutual Fund,USD,2019-05-13,2020-11-27
TLGRF,PINK,Stock,USD,2017-09-22,2020-11-27
TLGRX,NMFQS,Mutual Fund,USD,2009-10-01,2020-11-27
TLGSX,NMFQS,Mutual Fund,USD,2001-02-15,2017-09-20
TLGT,NASDAQ,Stock,USD,2015-10-26,2020-11-27
TLGUX,NMFQS,Mutual Fund,USD,1991-12-31,2020-11-27
TLGVX,NMFQS,Mutual Fund,USD,2012-03-01,2017-09-20
TLGWX,NMFQS,Mutual Fund,USD,2019-05-13,2020-11-27
TLGYX,NMFQS,Mutual Fund,USD,2016-08-18,2020-11-27
TLH,NYSE ARCA,ETF,USD,2007-01-11,2020-11-27
TLHHX,NMFQS,Mutual Fund,USD,2016-01-04,2020-11-27
TLHIX,NMFQS,Mutual Fund,USD,2009-10-01,2020-11-27
TLHPX,NMFQS,Mutual Fund,USD,2009-10-01,2020-11-27
TLHRX,NMFQS,Mutual Fund,USD,2009-10-01,2020-11-27
TLI,NYSE,ETF,USD,1998-11-20,2020-11-20
TLIBX,NMFQS,Mutual Fund,USD,,
TLIEX,NMFQS,Stock,USD,,
TLIF,PINK,Stock,USD,2011-02-23,2020-11-27
TLIHX,NMFQS,Mutual Fund,USD,2016-01-04,2020-11-27
TLIIX,NMFQS,Mutual Fund,USD,2007-12-03,2020-11-27
TLINX,NMFQS,Mutual Fund,USD,2019-05-13,2020-11-27
TLIPX,NMFQS,Mutual Fund,USD,2009-10-01,2020-11-27
TLIRX,NMFQS,Mutual Fund,USD,2007-12-03,2020-11-27
TLISX,NMFQS,Mutual Fund,USD,2017-01-03,2020-11-27
TLK,NYSE,Stock,USD,2001-01-02,2020-11-27
TLKGY,PINK,Stock,USD,2009-08-27,2020-11-27
TLKMF,PINK,Stock,USD,2014-04-29,2020-11-27
TLKTF,PINK,Stock,USD,2017-12-04,2020-11-27
TLL,NYSE ARCA,ETF,USD,2008-04-01,2015-09-11
TLLEQ,PINK,Stock,USD,2017-09-22,2020-11-27
TLLGF,OTCGREY,Stock,USD,2017-09-26,2020-11-27
TLLHX,NMFQS,Mutual Fund,USD,2016-01-04,2020-11-27
TLLIX,NMFQS,Mutual Fund,USD,2009-10-01,2020-11-27
TLLLX,NMFQS,Mutual Fund,USD,,
TLLP,NYSE,Stock,USD,2011-04-20,2017-07-31
TLLPX,NMFQS,Mutual Fund,USD,2009-10-01,2020-11-27
TLLRX,NMFQS,Mutual Fund,USD,2009-10-01,2020-11-27
TLLT,PINK,Stock,USD,2017-09-22,2018-05-31
TLLTD,PINK,Stock,USD,2015-10-21,2018-06-29
TLLTF,OTCQB,Stock,USD,2018-05-11,2020-11-27
TLLVX,NMFQS,Mutual Fund,USD,2019-05-13,2020-11-27
TLLXY,OTCGREY,Stock,USD,,
TLLYF,OTCGREY,Stock,USD,2017-09-28,2020-11-27
TLLZD,OTCMKTS,Stock,USD,2010-06-25,2018-05-16
TLLZF,OTCGREY,Stock,USD,2010-06-25,2020-11-27
TLM,NYSE,Stock,USD,1997-10-16,2015-05-15
TLMAX,NMFQS,Mutual Fund,USD,2014-01-02,2020-11-27
TLMD,NASDAQ,Stock,USD,2020-01-28,2020-11-27
TLMDA,,Stock,USD,,
